"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 20 09:51:30 CEST 2021","Tue Jul 20 09:51:49 CEST 2021","18497","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint NL @SC2A | {""articlenumber"":""FA020116800""}","SC2A Hint NL @SC2A | {""articlenumber"":""FA020116800""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:56:11 CEST 2021","Tue Jul 20 09:56:27 CEST 2021","15829","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint NO @SC2A | {""articlenumber"":""LA012000002""}","SC2A Hint NO @SC2A | {""articlenumber"":""LA012000002""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:41:05 CEST 2021","Tue Jul 20 09:41:25 CEST 2021","19915","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint DK @SC2A | {""articlenumber"":""FA020116800""}","SC2A Hint DK @SC2A | {""articlenumber"":""FA020116800""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:34:26 CEST 2021","Tue Jul 20 09:34:40 CEST 2021","13800","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint DE @SC2A | {""articlenumber"":""LA012000002""}","SC2A Hint DE @SC2A | {""articlenumber"":""LA012000002""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:54:38 CEST 2021","Tue Jul 20 09:54:51 CEST 2021","13191","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint NZ @SC2A | {""articlenumber"":48690113540}","SC2A Hint NZ @SC2A | {""articlenumber"":48690113540}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 10:01:16 CEST 2021","Tue Jul 20 10:01:31 CEST 2021","14324","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint ES @SC2A | {""articlenumber"":48690113540}","SC2A Hint ES @SC2A | {""articlenumber"":48690113540}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:55:56 CEST 2021","Tue Jul 20 09:56:11 CEST 2021","14938","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint NO @SC2A | {""articlenumber"":48690113540}","SC2A Hint NO @SC2A | {""articlenumber"":48690113540}","tests if the SC2A hint is displayed"
"failed","Tue Jul 20 09:36:47 CEST 2021","Tue Jul 20 09:37:13 CEST 2021","25936","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint US @SC2A | {""articlenumber"":""LA012000002""}","SC2A Hint US @SC2A | {""articlenumber"":""LA012000002""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:40:11 CEST 2021","Tue Jul 20 09:40:23 CEST 2021","12724","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint CA @SC2A | {""articlenumber"":""FA012000001""}","SC2A Hint CA @SC2A | {""articlenumber"":""FA012000001""}","tests if the SC2A hint is displayed"
"passed","Tue Jul 20 09:37:36 CEST 2021","Tue Jul 20 09:37:53 CEST 2021","16501","","Check if product name is available for SC2A compatible products:","","Check if product name is available for SC2A compatible products:","SC2A Hint AT @SC2A | {""articlenumber"":""FA012000001""}","SC2A Hint AT @SC2A | {""articlenumber"":""FA012000001""}","tests if the SC2A hint is displayed"
